abstract,address,author,booktitle,citation_key,copyright,doi,entry_type,file,isbn,issn,journal,language,month,number,pages,publisher,shorttitle,title,url,urldate,volume,year
"Abstract Crop disease is a significant challenge in agriculture, requiring quick and precise detection to safeguard yields and reduce economic losses. Traditional diagnostic methods are slow, labor-intensive, and rely on expert knowledge, limiting scalability for large-scale operations. To overcome these challenges, a novel architecture called Mob-Res , combining residual learning with the MobileNetV2 feature extractor, is introduced in this work. Despite having only 3.51 million parameters, Mob-Res is lightweight and well-suited for mobile applications while delivering exceptional performance. The proposed model is assessed using two benchmark datasets: Plant Disease Expert , consisting of 199,644 images across 58 classes, and PlantVillage , with 54,305 images across 38 classes. Through a rigorous training strategy, Mob-Res demonstrates robust performance, achieving 97.73\% average accuracy on the Plant Disease Expert dataset and 99.47\% on the PlantVillage dataset. The cross-domain validation rate ( CDVR ) is computed to assess its cross-domain adaptability, with the model showing competitive results compared to other pre-trained models. Additionally, Mob-Res outperforms prominent pre-trained CNN architectures, surpassing ViT-L32 while maintaining a significantly lower parameter count and achieving faster inference times. The proposed model enhances interpretability by utilizing Gradient-weighted Class Activation Mapping ( Grad-CAM ), Grad-CAM++ , and Local Interpretable Model-agnostic Explanations ( LIME ). These techniques provide visual insights into the neural regions influencing the predictions. The experimental results conducted in the current work highlight Mob-Res as a promising solution for automated plant disease detection, supporting large-scale agricultural operations and advancing global food security.",,"Pal, Chiranjit and Karmakar, Swastik and Mukherjee, Imon and Chakrabarti, Partha Pratim",,palLightweightExplainableCNN2025,,10.1038/s41598-025-94083-1,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\PS6NX2UY\\Pal et al. - 2025 - A lightweight and explainable CNN model for empowering plant disease diagnosis.pdf:application/pdf,,2045-2322,Scientific Reports,en,aug,1,30720,,,A lightweight and explainable CNN model for empowering plant disease diagnosis,https://www.nature.com/articles/s41598-025-94083-1,2026-04-27,15,2025
"ABSTRACT This study presents a hybrid learning model that integrates MobileNetV2 and Vision Transformer (ViT) with a stacking model to classify maize leaf diseases, addressing the critical need for early detection to improve agricultural productivity and sustainability. Utilising the ‘Corn or Maize Leaf Disease Dataset’ from Kaggle, comprising 4,062 high‐resolution images across five classes (Common Rust, Grey Leaf Spot, Healthy, Northern Leaf Blight, Not Maize Leaf), the model achieves an impressive accuracy of 96.73\%. Transfer learning from ImageNet, coupled with data augmentation (rotation, flipping, scaling, brightness adjustment), enhances generalisation, while a 20\% dropout rate mitigates overfitting. The key advantage of the hybrid model lies in its ability to combine the strengths of MobileNetV2's localised feature extraction and ViT's global context understanding, enhanced by the stacking model's ability to reduce the weaknesses of either model. Explainable AI techniques, including SHapley Additive exPlanations (SHAP), Local Interpretable Model‐agnostic Explanations (LIME), and Grad‐CAM, provide transparent insights into model decisions, fostering trust among agricultural stakeholders. Comparative analysis demonstrates the model’s superiority over prior works, with F1‐scores ranging from 0.9276 to 1.0000. Despite minor misclassifications due to visual similarities, the model offers a robust, interpretable solution for precision agriculture.",,"Özüpak, Yıldırım and Alpsalaz, Feyyaz and Aslan, Emrah and Uzel, Hasan",,ozupakHybridDeepLearning2025a,http://onlinelibrary.wiley.com/termsAndConditions\#vor,10.1080/01140671.2025.2519570,article,PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\V5PJZEAA\\Özüpak et al. - 2025 - Hybrid deep learning model for maize leaf disease classification with explainable AI.pdf:application/pdf,,"0114-0671, 1175-8783",New Zealand Journal of Crop and Horticultural Science,en,dec,5,2942--2964,,,Hybrid deep learning model for maize leaf disease classification with explainable AI,https://rsnz.onlinelibrary.wiley.com/doi/10.1080/01140671.2025.2519570,2026-04-27,53,2025
"Abstract Agricultural productivity is at risk from plant diseases all across the world, but it is particularly harmful in countries that are developing where farming is crucial to the economy. Avoiding crop failure due to microbes, viruses, fungi, or environmental stress requires the prompt detection of paddy leaf diseases. Traditional disease classification relies on expert knowledge, which farmers may not always have access to. This research proposes a machine learning strategy based on Explainable AI that can assist farmers quickly diagnose and manage rice leaf diseases. To enhance predictive performance by transforming features, an improved Owl Search Optimization (IOSO) algorithm is used. This method not only yields consistent outcomes, but it also provides insights into its decisions, which helps the user better understand and trust the data. The Yeo-Johnson technique is used to alter the statistical information acquired from each image. The next step is to use a Cat Boost classifier to sort the features. Using SHAP analysis and the Cat Boost classifier, this study delves deeper into the model’s classification process and the effects of each feature on the model’s operation. The ideal transformation method substantially improved performance, leading to an accuracy of up to 98.76\%, even though the original model showed a balanced accuracy of less than 75\%. This method proved to be the most effective in correctly identifying paddy leaf illnesses, surpassing other models such as SVM, Random Forest, and XGBoost.",,"Amudha, M and K, Brindha",,amudhaHybridPaddyDisease2025b,,10.1088/2515-7620/adecec,article,IOP Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\K682N49R\\Amudha and K - 2025 - Hybrid Paddy disease classification using optimized statistical feature based transformation techniq.pdf:application/pdf,,2515-7620,Environmental Research Communications,,jul,7,075017,,,Hybrid Paddy disease classification using optimized statistical feature based transformation technique with explainable AI,https://iopscience.iop.org/article/10.1088/2515-7620/adecec,2026-04-27,7,2025
"Abstract The detection of plant leaf diseases is essential for ensuring crop health and productivity. This study uses a comprehensive merged dataset, including the Mendeley Plant Leaf Dataset, which includes 22 classes, while the Jute and Mulberry datasets provide 2 classes each, representing healthy and diseased categories from various species. The final dataset, consisting of 26 classes, was augmented to ensure 500 training samples per class. In this study, the Segment Anything Model (SAM) was employed for zero-shot segmentation, enabling the automatic extraction of precise regions of interest (ROIs) from leaf images without the need for task-specific training for region-focused analysis. An EfficientNetB7- Multi-Head Attention (MHA) model that combines EfficientNetB7 with MHA was used to improve plant disease classification across 26 distinct classes. The proposed model is designed to handle the variety and diversity of leaf diseases, achieving a high classification accuracy of 98.01\%, with precision, recall, and F1-scores all exceeding 97.9\%. The integration of MHA allows the model to focus on disease-specific features, significantly enhancing its ability to generalize across diverse agricultural settings while maintaining scalability. Experimental results show that the EfficientNetB7-MHA model consistently outperforms several state-of-the-art (SOTA) models in terms of accuracy and robustness, making it a promising tool for precision agriculture. Explainable AI (XAI) including the use of Grad-CAM was utilized to detect the precise regions of interest for each class providing interpretability and insights into the model’s decision-making process. Finally, to demonstrate the model’s performance, a web application was developed that displays the predicted outputs when given different images of healthy and diseased leaves from the dataset. This comprehensive approach demonstrates significant potential for improving agricultural disease management through accurate, scalable, interpretable, and efficient disease detection.",,"Hasan, Mohammad Asif and Chowdhury, Muhammad E H and Birahim, Shaikh Afnan and Roy, Tonmoy and Paul, Avijit and Hasan, Anwarul and Muyeen, S M",,hasanZeroshotSegmentationMeets2025a,,10.1088/2631-8695/adebe3,article,IOP Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\PZYVW5HT\\Hasan et al. - 2025 - Zero-shot segmentation meets EfficientNetB7-MHA an explainable deep learning framework for real-tim.pdf:application/pdf,,2631-8695,Engineering Research Express,,sep,3,035219,,Zero-shot segmentation meets EfficientNetB7-MHA,Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,https://iopscience.iop.org/article/10.1088/2631-8695/adebe3,2026-04-27,7,2025
,,"Quach, Luyl-Da and Quoc, Khang Nguyen and Quynh, Anh Nguyen and Thai-Nghe, Nguyen and Nguyen, Tri Gia",,quachExplainableDeepLearning2023,https://creativecommons.org/licenses/by-nc-nd/4.0/,10.1109/ACCESS.2023.3296792,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\5YJUSCSX\\Quach et al. - 2023 - Explainable Deep Learning Models With Gradient-Weighted Class Activation Mapping for Smart Agricultu.pdf:application/pdf,,2169-3536,IEEE Access,,,,83752--83762,,,Explainable Deep Learning Models With Gradient-Weighted Class Activation Mapping for Smart Agriculture,https://ieeexplore.ieee.org/document/10187138/,2026-04-27,11,2023
,,"Mahmud, Tanjim and Akter, Mst. Sharmin and Akter, Tahmina and Shahadat Hossain, Mohammad and Andersson, Karl",,mahmudExploringDeepLearning2025a,https://creativecommons.org/licenses/by-nc-nd/4.0/,10.1109/ACCESS.2025.3609671,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\YH7Y8A55\\Mahmud et al. - 2025 - Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classificatio.pdf:application/pdf,,2169-3536,IEEE Access,,,,162821--162844,,,Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,https://ieeexplore.ieee.org/document/11162500/,2026-04-27,13,2025
"Abstract Objective The agricultural sector is important in the supply of food globally as well as in enhancing the economy especially in developing countries where it forms the backbone of the economy. Corn can be classified as such crops important to the world’s food system. Unfortunately, corn crop is vulnerable to a lot of diseases and this may result into heavy losses and disruption in the food supply system. Hence, it is important to detect and classify these diseases accurately and promptly to limit losses and achieve the highest possible productivity. This study intends to solve these problems by constructing a trustworthy and interpretable model based on deep learning approaches focused on accurate identification of corn leaf disease. Material In this study, the cumulative dataset comprises 4188 images which are further divided into four classes of corn leaf disease, with 1146 images of blight leaf, 1306 images of common rust, 574 images of gray spot and 1162 images of healthy leaves. In order to train and validate the model 70\% of data was used for training while 30\% was used for testing. This division was appropriate because it allowed enough data to be used during model training and also enough for model evaluation on new data. Methods The research employs ResNet152, a well-known deep leaning structure in image classification, because uses residual connections that improve the training of deep networks. Furthermore, Grad-CAM (Gradient-weighted Class Activation Mapping) is employed to improve the explainability of the model. Grad-CAM produces human interpretable visual images in the form of heatmaps and it indicates the areas of corn leaves that have had the greatest impact in the model, which is fairly useful in understanding the model. The model processes and predicts the corn leaves into four classes: healthy (H), blight (B), gray spot (GS) and common rust (CR), with precision and explainability. Results The results of training the ResNet152 model were remarkable as it registered a 99.95\% accuracy during training as well as 98.34\% during testing. Also, applying Grad-CAM for interpretability purposes proved to be useful as it created heatmaps that indicated the most important parts of the leaf images for making the model predictions. This added to the understanding of the model and its predictions, which was especially important for users such as farmers who required accurate diagnoses of diseases. Conclusion This study demonstrates the effectiveness of the ResNet152 model, enhanced with Grad-CAM for explainability, in classifying corn leaf diseases. Achieving good training and testing accuracy, the model provides transparent, human-readable explanations, fostering trust and reliability in automated disease diagnosis and aiding farmers in making better-informed decisions to improve crop yields.",,"Gopalan, Kirubasri and Srinivasan, Saravanan and ., Pragya and Singh, Manu and Mathivanan, Sandeep Kumar and Moorthy, Usha",,gopalanCornLeafDisease2025,,10.1186/s12870-025-06386-0,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\JAQPGD4Z\\Gopalan et al. - 2025 - Corn leaf disease diagnosis enhancing accuracy with resnet152 and grad-cam for explainable AI.pdf:application/pdf,,1471-2229,BMC Plant Biology,en,apr,1,440,,Corn leaf disease diagnosis,Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-025-06386-0,2026-04-27,25,2025
"Abstract Objective The primary aim of this research is to develop an effective and robust model for identifying and classifying diseases in general fruits, particularly apples, guavas, mangoes, pomegranates, and oranges, utilizing computer vision techniques. Material An open-source collection of fruit disease images, comprising both diseased and healthy samples from the first five fruit types, was used in this study. The data was split into 70\% training, 15\% validation, and 15\% testing. A 5-fold cross-validation was used to maintain the generalizability and stability of the model’s performance. Models For performance comparisons of these models on the dataset, we benchmarked state-of-the-art pre-trained convolutional neural network (ConvNet) models, including Swin Transformer (ST), EfficientNetV2, ConvNeXt, YOLOv8, and MobileNetV3. A new model, the Dual-Branch Attention-Guided Vision Network (DBA-ViNet), was introduced. A hybrid with two branches of DBA-ViNet can efficiently integrate global and local features for improved disease identification accuracy. Grad-CAM was used to visualize the regions that contributed to each prediction, helping to interpret the model. These heatmaps verified that DBA-ViNet can correctly direct its attention to disease-specific symptoms, thereby increasing trust and transparency in the classification results. Results The proposed DBA-ViNet achieved a high testing classification accuracy of 99.51\%, specificity of 99.42\%, recall of 99.61\%, precision of 99.30\% and F1 score of 99.45\% outperforming baseline models in all evaluation metrics. While the improvements were consistent, statistical significance testing was not performed and will be explored in future work. Conclusion These results confirm the effectiveness of the proposed DBA-ViNet architecture in fruit disease detection, suggesting that incorporating both global and local feature extraction into the design of the double-branch attention mechanism for classification can achieve high accuracy and reliability. It is potentially practical in smart agriculture and the automated crop health monitoring system.",,"Srinivasan, Saravanan and Somasundharam, Lalitha and Rajendran, Sukumar and Singh, Virendra Pal and Mathivanan, Sandeep Kumar and Moorthy, Usha",,srinivasanDBAViNetEffectiveDeep2025b,,10.1186/s12870-025-07015-6,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\EANSB4BC\\Srinivasan et al. - 2025 - DBA-ViNet an effective deep learning framework for fruit disease detection and classification using.pdf:application/pdf,,1471-2229,BMC Plant Biology,en,jul,1,965,,DBA-ViNet,DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-025-07015-6,2026-04-27,25,2025
,,"Shafik, Wasswa and Tufail, Ali and De Silva, Liyanage Chandratilak and Haji Mohd Apong, Rosyzie Anna Awg and Kim, Ki-Hyung",,shafikDeepLearningTechnique2025,,10.1186/s12870-025-07377-x,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\7SHUCH49\\Shafik et al. - 2025 - Deep learning technique for plant disease classification and pest detection and model explainability.pdf:application/pdf;ICCIT_Tomato_XAI_Final:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\29A2M5EC\\ICCIT_Tomato_XAI_Final.pdf:application/pdf,,1471-2229,BMC Plant Biology,en,nov,1,1491,,,Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-025-07377-x,2026-04-27,25,2025
,,"Sandhi, Anil and Kumar, Rajeev and Bhardwaj, Reeta and Kumar, Dinesh and Rana, Arun Kumar and Ajala, Olubunmi and Deepak, A. and Salau, Ayodeji Olalekan",,sandhiOptimizedDeepLearning2025,,10.1186/s13007-025-01447-9,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\TIS2ADPJ\\Sandhi et al. - 2025 - Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms.pdf:application/pdf,,1746-4811,Plant Methods,en,oct,1,124,,,Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,https://plantmethods.biomedcentral.com/articles/10.1186/s13007-025-01447-9,2026-04-27,21,2025
,,"Laatiri, Youssef",,laatiriExplainableIntelligentDetection2026a,,10.18178/joig.14.1.141-148,article,PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\G9Z7W3GZ\\Laatiri - 2026 - Explainable Intelligent Detection of Tomato Leaf Diseases An Explainable Deep Learning Approach.pdf:application/pdf,,"23013699, 29723973",Journal of Image and Graphics,,,1,,,Explainable Intelligent Detection of Tomato Leaf Diseases,Explainable Intelligent Detection of Tomato Leaf Diseases: An Explainable Deep Learning Approach,https://www.joig.net/show-107-523-1.html,2026-04-27,14,2026
,,"Qushtom, Hussam and Hasasneh, Ahmad and Masri, Sari",,qushtomEnhancedWheatDisease2025b,,10.32604/cmc.2025.061995,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\79XNK2D7\\Qushtom et al. - 2025 - Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques.pdf:application/pdf,,1546-2226,"Computers, Materials \& Continua",en,,1,1379--1395,,,Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,https://www.techscience.com/cmc/v84n1/61712,2026-04-27,84,2025
"Plant diseases significantly impact crop productivity and quality, posing a serious threat to global agriculture. The process of identifying and categorizing these diseases is often time-consuming and prone to errors. This research addresses this issue by employing a convolutional neural network and support vector machine (CNN-SVM) hybrid model to classify diseases in four economically important crops: strawberries, peaches, cherries, and soybeans. The objective is to categorize 10 classes of diseases, with six diseased classes and four healthy classes, for these crops using the deep learning-based CNN-SVM model. Several pre-trained models, including VGG16, VGG19, DenseNet, Inception, MobileNetV2, MobileNet, Xception, and ShuffleNet, were also trained, achieving accuracy ranges from 53.82\% to 98.8\%. The proposed model, however, achieved an average accuracy of 99.09\%. While the proposed model's accuracy is comparable to that of the VGG16 pre-trained model, its significantly lower number of trainable parameters makes it more efficient and distinctive. This research demonstrates the potential of the CNN-SVM model in enhancing the accuracy and efficiency of plant disease classification. The CNN-SVM model was selected over VGG16 and other models due to its superior performance metrics. The proposed model achieved a 99\% F1-score, a 99.98\% Area Under the Curve (AUC), and a 99\% precision value, demonstrating its efficacy. Additionally, class activation maps were generated using the Gradient Weighted Class Activation Mapping (Grad-CAM) technique to provide a visual explanation of the detected diseases. A heatmap was created to highlight the regions requiring classification, further validating the model's accuracy and interpretability.",,"Prince, Reazul Hasan and Mamun, Abdul Al and Peyal, Hasibul Islam and Miraz, Shafiun and Nahiduzzaman, Md. and Khandakar, Amith and Ayari, Mohamed Arselene",,princeCSXAILightweight2D2024b,,10.3389/fpls.2024.1412988,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\3YNJUHNB\\Prince et al. - 2024 - CSXAI a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with.pdf:application/pdf,,1664-462X,Frontiers in Plant Science,,jul,,1412988,,CSXAI,CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,https://www.frontiersin.org/articles/10.3389/fpls.2024.1412988/full,2026-04-27,15,2024
"Introduction Agriculture is one of the major backbones of the Indian economy, where rice is the most prominent staple crop across the country. However, rice production has been significantly affected due to the occurrence of various plant diseases. Deep learning and machine learning have emerged as powerful solutions for computer vision-based problems. Methods This work identifies some of the key diseases and addresses these prominent ones using a state-of-the-art deep learning model. It proposes a novel multiclass rice leaf disease recognition model named GRG-ViT, which integrates Vision Transformer (ViT), Generative Artificial Intelligence (GenAI), and Explainable Artificial Intelligence (XAI) techniques for better outcomes. The Vision Transformer-based framework is designed to capture long-range spatial dependencies in leaf images, which enhances the model’s ability to identify the subtle disease patterns. Since the dataset portrayed considerable class imbalance, a GenAI-based synthetic data generation approach is equipped in this model to create balanced training samples, which in turn improves the model’s robustness. This model also proposes a hybrid Rectified Linear Unit (ReLU)–Gaussian Error Linear Unit (GELU)-based activation mechanism to attain effective feature representation. Results and discussion The obtained experimental results exhibit that the proposed GRG-ViT model reaches close to an overall accuracy of 96\%, which outperforms conventional approaches. The incorporation of XAI methods like Gradient-weighted Class Activation Mapping (Grad-CAM) provides both interpretability and transparency by emphasizing the regions impacting the model’s actions. This research showcases the blended power of ViT, GenAI, and XAI in producing reliable and high-performing results for rice disease detection in precision agriculture.",,"S. A. M., Felicita and B. R., Kavitha",,s.a.m.EnhancingMulticlassPlant2026b,,10.3389/fpls.2025.1649399,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\8C28W2QB\\S. A. M. and B. R. - 2026 - Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insi.pdf:application/pdf,,1664-462X,Frontiers in Plant Science,,jan,,1649399,,,Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,https://www.frontiersin.org/articles/10.3389/fpls.2025.1649399/full,2026-04-27,16,2026
"Traditional plant scouting is often a costly and labor-intensive task that requires experienced specialists to diagnose and manage plant stresses. Artificial intelligence (AI), particularly deep learning and computer vision, offers the potential to transform scouting by enabling rapid, non-intrusive detection and classification of early stress symptoms from plant images. However, deep learning models are often opaque, relying on millions of parameters to extract complex nonlinear features that are not interpretable by growers. Recently, eXplainable AI (XAI) techniques have been used to identify key spatial regions that contribute to model predictions. This project explored the potential of convolutional neural networks (CNNs) for classifying the severity of chilli thrips damage in strawberry plants in Florida and employed XAI techniques to interpret model decisions and identify symptom-relevant canopy features. Four CNN architectures, YOLOv11, EfficientNetV2, Xception, and MobileNetV3, were trained and evaluated using 2353 square RGB canopy images of different sizes (256, 480, 640 and 1024 pixels) to classify symptoms as healthy, moderate, or severe. Trade-offs between image size, model parameter count, inference speed, and accuracy were examined in determining the best-performing model. The models achieved accuracies ranging from 77\% to 85\% with inference times of 5.7 to 262.3 ms, demonstrating strong potential for real-time pest severity estimation. Gradient-Weighted Class Activation Mapping (Grad-CAM) visualization revealed that model attention focused on biologically relevant regions such as fruits, stems, leaf edges, leaf surfaces, and dying leaves, areas commonly affected by chilli thrips. Subsequent analysis showed that model attention spread from localized regions in healthy plants to wide diffuse regions in severe plants. This alignment between model attention and expert scouting logic suggests that CNNs internalize symptom-specific visual cues and can reliably classify pest-induced plant stress.",,"Ilodibe, Uchechukwu and Choi, Daeun and Lahiri, Sriyanka and Li, Changying and Hofstetter, Daniel and Ampatzidis, Yiannis",,ilodibeExplainableDeepLearning2026a,,10.3390/agriculture16020252,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\IWKUCAJ4\\Ilodibe et al. - 2026 - Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry.pdf:application/pdf,,2077-0472,Agriculture,en,jan,2,252,,,Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,https://www.mdpi.com/2077-0472/16/2/252,2026-04-27,16,2026
"Early and accurate detection of lemon disease is necessary for effective citrus crop management. Traditional approaches often lack refined diagnosis, necessitating more powerful solutions. The article introduces adaptive PSO-LemonNetX, a novel framework integrating a novel deep learning model, adaptive Particle Swarm Optimization (PSO)-based feature selection, and explainable AI (XAI) using LIME. The approach improves the accuracy of classification while also enhancing the explainability of the model. Our end-to-end model obtained 97.01\% testing and 98.55\% validation accuracy. Performance was enhanced further with adaptive PSO and conventional classifiers—100\% validation accuracy using Naive Bayes and 98.8\% testing accuracy using Naive Bayes and an SVM. The suggested PSO-based feature selection performed better than ReliefF, Kruskal–Wallis, and Chi-squared approaches. Due to its lightweight design and good performance, this approach can be adapted for edge devices in IoT-enabled smart farms, contributing to sustainable and automated disease detection systems. These results show the potential of integrating deep learning, PSO, grid search, and XAI into smart agriculture workflows for enhancing agricultural disease detection and decision-making.",,"Ullah, Naeem and Ruocco, Michelina and Della Cioppa, Antonio and De Falco, Ivanoe and Sannino, Giovanna",,ullahExplainableDeepLearning2025a,,10.3390/electronics14193928,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\V943E3PV\\Ullah et al. - 2025 - An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Class.pdf:application/pdf,,2079-9292,Electronics,en,oct,19,3928,,,An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,https://www.mdpi.com/2079-9292/14/19/3928,2026-04-27,14,2025
"Plant diseases pose a significant threat to global food security, affecting crop yield, quality, and overall agricultural productivity. Traditionally, diagnosing plant diseases has relied on time-consuming visual inspections by experts, which can often lead to errors. Machine learning (ML) and artificial intelligence (AI), particularly Vision Transformers (ViTs), and Convolutional Neural Networks, offer a faster, automated alternative for identifying plant diseases through leaf image analysis. However, these models are often criticized for their “black box” nature, limiting trust in their predictions due to a lack of transparency. Our findings show that incorporating Explainable AI (XAI) techniques, such as Grad-CAM, Integrated Gradients, and LIME, significantly improves model interpretability, making it easier for practitioners to identify the underlying symptoms of plant diseases. This study not only contributes to the field of plant disease detection but also offers a novel perspective on improving AI transparency in real-world agricultural applications through the use of XAI techniques. With training accuracies of 100.00\% for ViT, 96.88\% for EfficientNetB7, 93.75\% for EfficientNetB0, and 87.50\% for ResNet50, and corresponding validation accuracies of 96.39\% for ViT, 86.98\% for EfficientNetB7, and 82.00\% for EfficientNetB0, our proposed models outperform earlier research on the same dataset. This demonstrates a notable improvement in model performance while maintaining transparency and trustworthiness through interpretable and reliable decision-making.",,"Nurullah, Md. and Hodhod, Rania and Carroll, Hyrum and Zhou, Yi",,nurullahAdvancingMultiLabelTomato2025a,,10.3390/electronics14234762,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\32TPFIBW\\Nurullah et al. - 2025 - Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet w.pdf:application/pdf,,2079-9292,Electronics,en,dec,23,4762,,,Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,https://www.mdpi.com/2079-9292/14/23/4762,2026-04-27,14,2025
"Facility agriculture cultivation is the main production form of the vegetable industry in the world. As an important vegetable crop, hot peppers are easily threatened by many diseases in a facility microclimate environment. Traditional disease detection methods are time-consuming and allow the disease to proliferate, so timely detection and inhibition of disease development have become the focus of global agricultural practice. This article proposed a generalizable and explainable machine learning model for hot pepper damping-off in intensive seedling production under the condition of ensuring the high accuracy of the model. Through Kalman filter smoothing, SMOTE-ENN unbalanced sample processing, feature selection and other data preprocessing methods, 19 baseline models were developed for prediction in this article. After statistical testing of the results, Bayesian Optimization algorithm was used to perform hyperparameter tuning for the best five models with performance, and the Extreme Random Trees model (ET) most suitable for this research scenario was determined. The F1-score of this model is 0.9734, and the AUC value is 0.9969 for predicting the severity of hot pepper damping-off, and the explainable analysis is carried out by SHAP (SHapley Additive exPlanations). According to the results, the hierarchical management strategies under different severities are interpreted. Combined with the front-end visualization interface deployed by the model, it is helpful for farmers to know the development trend of the disease in advance and accurately regulate the environmental factors of seedling raising, and this is of great significance for disease prevention and control and to reduce the impact of diseases on hot pepper growth and development.",,"Wang, Zhaoyuan and Liu, Kaige and Liang, Longwei and Li, Changhong and Ji, Tao and Xu, Jing and Liu, Huiying and Diao, Ming",,wangExplainableMachineLearning2025,,10.3390/horticulturae11101258,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\4LAAHJCV\\Wang et al. - 2025 - An Explainable Machine Learning Framework for the Hierarchical Management of Hot Pepper Damping-Off.pdf:application/pdf,,2311-7524,Horticulturae,en,oct,10,1258,,,An Explainable Machine Learning Framework for the Hierarchical Management of Hot Pepper Damping-Off in Intensive Seedling Production,https://www.mdpi.com/2311-7524/11/10/1258,2026-04-27,11,2025
